sleep,stress,mood,energy,screen_time,activity_minutes,connectedness,activity,hour,day_type,best_nudge
8.01,2,4,3,3.87,14,3,Relaxing,19,Weekday,Prepare for bed
7.47,3,2,2,5.28,57,2,Phone,16,Weekday,Reduce screen time
9.05,3,3,3,4.13,26,3,Studying,15,Weekday,Take a short break
6.48,4,2,3,4.42,80,3,Studying,14,Weekday,Connect socially
7.38,3,3,1,5.33,54,4,Studying,10,Weekday,Stay active
7.32,4,2,3,5.91,48,1,Exercise,14,Weekday,Reduce screen time
9.14,3,3,4,5.76,77,4,Phone,21,Weekday,Maintain habits
8.37,2,4,2,3.93,7,3,Studying,9,Weekend,Prepare for bed
7.38,4,4,3,3.45,18,4,Studying,22,Weekday,Prepare for bed
9.61,3,3,4,4.68,9,3,Phone,9,Weekday,Connect socially
8.8,3,3,4,4.97,153,1,Studying,14,Weekend,Connect socially
7.35,3,3,3,6.93,37,4,Phone,17,Weekend,Connect socially
7.27,3,3,2,3.55,36,2,Relaxing,20,Weekday,Stay active
8.27,2,3,3,2.34,32,3,Studying,10,Weekday,Take a short break
6.5,3,3,2,3.35,187,4,Studying,10,Weekday,Take a short break
8.27,3,4,3,4.29,45,5,Working,18,Weekday,Take a short break
8.7,2,1,2,2.37,181,2,Studying,13,Weekday,Reduce screen time
7.99,4,2,3,2.91,36,4,Studying,18,Weekday,Maintain habits
7.32,1,4,4,2.43,103,4,Studying,20,Weekend,Maintain habits
7.03,2,5,3,2.81,113,5,Relaxing,8,Weekday,Reduce screen time
8.07,2,3,2,4.64,30,4,Studying,20,Weekday,Maintain habits
8.36,3,3,3,3.64,58,2,Studying,7,Weekend,Prepare for bed
9.93,2,4,3,4.27,97,5,Working,21,Weekday,Maintain habits
6.55,3,3,3,4.12,7,1,Studying,23,Weekday,Prepare for bed
8.05,2,3,2,1.96,74,3,Relaxing,18,Weekday,Stay active
7.11,3,2,3,4.44,55,3,Phone,23,Weekday,Take a short break
4.91,4,3,1,5.25,63,3,Studying,20,Weekday,Take a short break
8.73,2,3,4,3.87,41,2,Exercise,8,Weekday,Stay active
7.13,4,2,3,1.14,0,2,Working,6,Weekday,Stay active
9.32,3,5,4,5.29,32,4,Studying,7,Weekend,Maintain habits
8.26,3,3,4,2.73,28,4,Relaxing,16,Weekday,Prepare for bed
8.24,2,3,4,2.71,86,3,Studying,18,Weekday,Maintain habits
7.02,2,3,4,6.25,33,4,Studying,16,Weekday,Take a short break
6.82,2,4,3,2.31,62,5,Phone,18,Weekday,Maintain habits
9.64,3,3,4,3.86,10,2,Phone,16,Weekday,Stay active
7.8,3,3,3,7.2,76,3,Phone,7,Weekday,Connect socially
9.6,2,4,3,5.43,18,5,Relaxing,12,Weekday,Stay active
7.44,3,2,3,8.24,55,3,Studying,23,Weekday,Prepare for bed
8.44,3,3,4,3.62,47,3,Exercise,14,Weekend,Reduce screen time
8.07,4,4,2,5.25,57,2,Phone,14,Weekday,Maintain habits
8.64,3,4,3,6.24,28,5,Phone,10,Weekday,Stay active
5.05,4,2,1,2.59,43,3,Relaxing,23,Weekday,Reduce screen time
6.99,4,3,3,4.67,137,4,Phone,12,Weekday,Connect socially
8.04,3,3,3,3.12,30,4,Studying,18,Weekday,Maintain habits
9.05,2,3,3,3.31,6,3,Phone,7,Weekday,Reduce screen time
8.95,3,2,3,3.81,60,4,Phone,8,Weekend,Maintain habits
7.01,3,3,3,4.84,26,3,Studying,19,Weekday,Stay active
7.91,2,3,3,3.29,29,4,Working,18,Weekday,Take a short break
10.84,3,4,5,5.21,41,3,Phone,18,Weekend,Maintain habits
7.7,3,3,3,3.65,169,5,Studying,12,Weekday,Maintain habits
7.22,4,3,3,4.79,16,3,Studying,23,Weekday,Prepare for bed
8.27,4,4,2,6.68,90,3,Phone,17,Weekday,Maintain habits
7.83,2,3,3,2.9,43,4,Exercise,23,Weekend,Maintain habits
7.75,3,3,4,4.37,36,4,Relaxing,10,Weekday,Maintain habits
8.0,4,4,2,6.09,37,4,Phone,15,Weekday,Stay active
6.86,3,4,3,3.31,37,3,Studying,14,Weekday,Stay active
6.87,4,2,2,7.2,28,3,Phone,19,Weekday,Prepare for bed
9.47,4,3,3,3.72,10,2,Phone,19,Weekday,Reduce screen time
6.32,4,2,2,5.46,119,1,Exercise,16,Weekday,Prepare for bed
6.41,4,2,2,6.2,15,5,Phone,6,Weekday,Connect socially
7.58,4,3,3,3.22,39,4,Exercise,11,Weekday,Take a short break
6.5,4,2,1,6.58,57,3,Relaxing,8,Weekday,Prepare for bed
8.08,2,4,2,2.46,45,3,Relaxing,20,Weekday,Connect socially
7.75,4,2,3,4.44,37,1,Studying,13,Weekday,Connect socially
8.25,3,3,2,3.06,8,3,Phone,9,Weekday,Maintain habits
9.23,3,4,3,3.94,95,5,Relaxing,14,Weekend,Stay active
8.44,3,4,3,3.49,55,3,Relaxing,8,Weekend,Maintain habits
8.68,3,4,3,3.06,40,3,Studying,23,Weekday,Maintain habits
5.56,3,1,2,5.77,39,3,Phone,13,Weekday,Connect socially
7.97,3,4,2,5.42,107,2,Phone,22,Weekend,Reduce screen time
6.1,3,3,2,6.27,0,3,Phone,18,Weekend,Take a short break
8.35,2,4,2,4.75,80,2,Phone,17,Weekend,Reduce screen time
8.86,2,3,4,2.55,8,3,Studying,16,Weekday,Maintain habits
6.09,3,2,3,4.93,83,5,Exercise,18,Weekday,Take a short break
5.4,3,4,3,5.91,19,3,Relaxing,18,Weekday,Prepare for bed
7.25,4,2,4,3.88,93,4,Working,6,Weekend,Take a short break
8.3,4,1,1,5.48,72,1,Relaxing,21,Weekday,Connect socially
7.65,5,2,2,6.79,12,3,Relaxing,14,Weekday,Reduce screen time
6.84,3,3,2,5.97,64,4,Studying,14,Weekday,Take a short break
7.66,3,3,3,4.47,48,3,Relaxing,15,Weekday,Maintain habits
5.86,2,2,3,3.62,5,2,Studying,18,Weekday,Stay active
8.16,3,4,4,2.09,159,2,Exercise,14,Weekend,Maintain habits
7.24,3,3,2,6.35,29,1,Phone,14,Weekend,Connect socially
8.84,4,3,3,3.37,36,5,Relaxing,8,Weekend,Maintain habits
5.93,3,3,2,5.27,38,1,Studying,15,Weekday,Prepare for bed
7.51,3,3,2,2.68,40,1,Studying,10,Weekday,Reduce screen time
7.1,5,2,1,6.05,25,4,Studying,20,Weekday,Take a short break
8.52,3,4,3,4.24,9,3,Phone,14,Weekday,Stay active
6.61,3,3,3,2.81,42,3,Relaxing,22,Weekday,Prepare for bed
5.31,4,2,3,4.6,5,3,Studying,18,Weekday,Take a short break
8.06,3,3,3,2.97,16,5,Studying,19,Weekday,Stay active
6.08,4,3,2,3.23,22,5,Relaxing,22,Weekday,Maintain habits
7.26,4,3,3,5.22,6,5,Working,12,Weekday,Maintain habits
7.81,4,3,3,3.14,38,3,Exercise,17,Weekday,Maintain habits
5.03,3,3,2,6.18,94,2,Phone,7,Weekday,Stay active
6.21,2,3,2,4.77,45,4,Studying,9,Weekday,Stay active
8.53,3,4,4,4.6,87,4,Phone,14,Weekday,Maintain habits
8.95,4,3,3,3.74,65,3,Exercise,18,Weekend,Take a short break
7.27,3,3,3,3.35,59,3,Relaxing,20,Weekday,Maintain habits
6.25,2,3,3,3.21,71,3,Relaxing,12,Weekday,Maintain habits
10.16,3,3,3,4.28,4,1,Working,19,Weekday,Connect socially
7.74,4,2,2,5.89,26,3,Phone,12,Weekday,Stay active
8.84,5,2,4,4.9,68,5,Studying,6,Weekend,Take a short break
6.71,4,3,3,6.0,39,4,Working,8,Weekday,Take a short break
6.82,3,3,3,5.54,27,2,Phone,17,Weekend,Connect socially
8.49,3,3,4,5.83,165,3,Relaxing,16,Weekday,Reduce screen time
7.18,4,2,2,3.9,28,1,Exercise,13,Weekday,Connect socially
7.63,3,3,3,4.38,29,3,Studying,6,Weekday,Maintain habits
7.75,3,3,3,7.73,44,3,Relaxing,17,Weekend,Reduce screen time
8.91,5,2,4,5.4,31,1,Studying,20,Weekday,Reduce screen time
7.18,4,4,2,5.28,41,5,Phone,8,Weekday,Maintain habits
7.94,4,3,3,5.16,29,4,Studying,19,Weekday,Maintain habits
7.54,1,5,3,4.55,28,5,Studying,18,Weekday,Reduce screen time
5.85,3,2,2,7.05,36,4,Relaxing,16,Weekday,Take a short break
6.5,1,5,3,3.67,51,4,Studying,8,Weekday,Prepare for bed
7.68,3,3,4,3.42,42,4,Phone,22,Weekday,Maintain habits
7.49,3,3,2,5.32,2,4,Phone,16,Weekend,Maintain habits
7.66,4,4,3,3.71,42,2,Relaxing,15,Weekend,Connect socially
8.93,3,3,4,3.42,38,2,Studying,20,Weekday,Take a short break
7.04,4,3,3,2.01,194,3,Relaxing,20,Weekday,Prepare for bed
9.66,4,2,4,6.31,34,4,Phone,19,Weekday,Take a short break
7.12,3,2,2,5.08,57,1,Relaxing,20,Weekday,Connect socially
6.75,4,3,2,6.58,69,3,Studying,10,Weekday,Take a short break
8.98,2,4,4,5.61,35,5,Phone,19,Weekday,Maintain habits
8.23,3,3,3,5.52,86,2,Studying,14,Weekend,Maintain habits
9.38,2,4,3,4.07,74,3,Relaxing,21,Weekend,Maintain habits
6.13,3,3,4,3.08,108,5,Exercise,14,Weekday,Maintain habits
5.77,3,2,3,3.08,57,3,Exercise,8,Weekend,Stay active
4.61,5,2,2,5.62,152,1,Studying,15,Weekday,Connect socially
5.84,4,3,2,5.29,71,4,Working,19,Weekday,Prepare for bed
5.93,3,3,2,5.18,19,5,Working,16,Weekday,Reduce screen time
7.93,3,4,2,3.33,31,2,Studying,19,Weekday,Take a short break
7.69,4,2,3,7.49,46,2,Phone,7,Weekend,Reduce screen time
7.56,3,3,3,3.87,61,3,Relaxing,11,Weekend,Maintain habits
5.99,3,3,2,3.86,90,3,Exercise,17,Weekday,Maintain habits
8.83,3,3,3,4.58,63,4,Phone,15,Weekend,Take a short break
8.09,2,3,3,4.46,25,5,Studying,18,Weekday,Take a short break
5.67,3,2,2,6.76,93,4,Phone,22,Weekday,Reduce screen time
6.96,3,3,3,4.23,86,3,Studying,18,Weekday,Maintain habits
7.05,4,3,3,4.17,71,4,Studying,15,Weekend,Take a short break
9.19,3,4,4,2.35,91,4,Studying,17,Weekday,Connect socially
7.58,4,3,3,6.38,43,3,Studying,21,Weekday,Take a short break
7.34,3,3,2,2.26,22,4,Relaxing,18,Weekday,Prepare for bed
8.12,2,3,3,3.61,34,3,Phone,20,Weekend,Stay active
8.1,3,4,3,4.72,112,4,Relaxing,13,Weekend,Take a short break
8.19,2,3,4,4.16,33,4,Relaxing,19,Weekend,Reduce screen time
5.67,4,1,2,5.1,54,1,Working,10,Weekend,Stay active
7.9,2,3,4,4.28,31,3,Studying,19,Weekend,Maintain habits
10.43,2,4,3,1.66,21,2,Exercise,21,Weekday,Take a short break
6.34,4,2,2,2.24,32,3,Studying,21,Weekday,Take a short break
8.88,3,3,4,2.72,40,3,Phone,9,Weekend,Reduce screen time
7.99,4,4,2,8.03,60,5,Phone,20,Weekday,Reduce screen time
7.25,3,3,3,2.1,105,3,Exercise,9,Weekday,Prepare for bed
6.36,4,3,2,4.57,16,4,Phone,16,Weekday,Stay active
8.47,4,2,3,5.64,63,3,Studying,18,Weekend,Take a short break
6.95,3,4,3,5.5,6,2,Relaxing,16,Weekday,Prepare for bed
7.79,4,4,3,3.28,15,3,Working,14,Weekend,Maintain habits
7.81,3,3,3,3.19,65,2,Relaxing,18,Weekday,Reduce screen time
6.35,1,3,2,4.15,12,4,Studying,18,Weekday,Maintain habits
7.51,2,4,3,3.47,26,3,Relaxing,17,Weekend,Prepare for bed
8.1,4,3,3,5.9,13,4,Phone,17,Weekday,Reduce screen time
7.31,5,1,2,8.89,74,4,Phone,19,Weekday,Prepare for bed
5.43,3,2,2,4.57,46,3,Phone,15,Weekday,Take a short break
8.31,3,4,4,3.25,61,3,Studying,8,Weekend,Maintain habits
7.96,5,2,3,6.01,9,3,Phone,17,Weekday,Reduce screen time
8.07,3,3,4,0.61,48,4,Studying,19,Weekday,Prepare for bed
7.68,4,4,4,5.41,58,4,Phone,13,Weekend,Prepare for bed
6.9,4,2,2,3.08,33,3,Studying,10,Weekend,Reduce screen time
6.06,4,1,2,7.46,18,1,Phone,21,Weekday,Connect socially
6.94,4,3,2,2.99,37,4,Studying,20,Weekday,Stay active
8.11,4,3,4,3.92,31,4,Relaxing,18,Weekday,Take a short break
6.61,3,3,3,3.8,104,3,Studying,19,Weekday,Take a short break
9.25,3,4,3,4.38,58,3,Relaxing,23,Weekday,Prepare for bed
6.73,3,2,3,5.17,28,3,Studying,17,Weekday,Take a short break
8.82,4,3,2,5.4,35,4,Phone,12,Weekday,Maintain habits
7.77,4,3,4,2.57,34,4,Studying,18,Weekday,Take a short break
6.79,3,2,3,4.58,25,3,Studying,21,Weekday,Prepare for bed
6.12,5,2,1,5.69,22,4,Relaxing,18,Weekday,Take a short break
7.88,3,3,3,3.97,22,4,Phone,7,Weekday,Take a short break
7.76,2,2,3,3.6,45,1,Exercise,21,Weekend,Connect socially
7.12,3,2,3,5.39,27,1,Relaxing,19,Weekend,Connect socially
7.96,3,4,4,2.47,105,3,Studying,15,Weekend,Prepare for bed
7.59,3,4,3,4.68,44,4,Exercise,23,Weekday,Prepare for bed
6.42,4,2,3,5.77,89,2,Phone,19,Weekday,Connect socially
8.01,2,4,3,2.71,37,4,Relaxing,20,Weekend,Connect socially
5.05,4,2,2,5.18,9,2,Studying,22,Weekday,Connect socially
5.92,3,3,3,3.96,28,4,Studying,7,Weekday,Connect socially
8.31,3,3,4,4.31,5,4,Phone,19,Weekday,Stay active
6.94,3,3,2,5.04,61,1,Relaxing,15,Weekday,Connect socially
8.58,3,3,4,3.0,83,4,Studying,21,Weekend,Prepare for bed
7.91,4,3,3,4.26,62,4,Working,21,Weekday,Take a short break
8.9,4,4,3,4.26,88,2,Exercise,20,Weekend,Take a short break
8.05,3,3,3,5.22,180,2,Phone,19,Weekday,Maintain habits
8.26,2,4,3,5.61,37,4,Exercise,20,Weekday,Reduce screen time
5.78,3,3,1,4.74,84,5,Studying,13,Weekday,Take a short break
9.05,3,3,3,3.92,80,3,Relaxing,15,Weekday,Stay active
7.96,3,3,3,3.21,6,2,Studying,9,Weekday,Connect socially
9.95,3,3,3,4.87,25,3,Relaxing,20,Weekday,Maintain habits
7.72,3,2,3,4.8,57,3,Exercise,18,Weekend,Prepare for bed
6.45,3,2,3,2.86,70,4,Studying,18,Weekday,Maintain habits
9.08,4,2,4,3.73,46,4,Relaxing,12,Weekend,Reduce screen time
8.79,4,3,2,2.7,73,3,Exercise,18,Weekend,Take a short break
5.54,3,3,3,4.88,19,5,Relaxing,16,Weekday,Maintain habits
7.81,3,2,3,4.17,31,1,Exercise,23,Weekend,Maintain habits
6.68,3,2,4,4.77,68,3,Relaxing,20,Weekday,Prepare for bed
6.81,3,4,2,3.5,128,3,Studying,17,Weekday,Maintain habits
7.97,3,3,3,4.47,107,4,Relaxing,20,Weekend,Maintain habits
6.92,3,3,3,4.74,53,4,Relaxing,10,Weekend,Reduce screen time
8.48,3,4,2,5.4,94,5,Phone,9,Weekday,Maintain habits
6.5,4,3,2,5.13,72,3,Phone,18,Weekday,Take a short break
6.5,4,4,3,3.47,112,4,Phone,19,Weekday,Take a short break
6.56,5,2,2,5.77,3,3,Relaxing,8,Weekend,Prepare for bed
7.66,5,2,3,5.27,42,2,Relaxing,11,Weekday,Connect socially
6.11,3,3,2,5.87,125,4,Relaxing,17,Weekday,Prepare for bed
7.94,4,2,3,3.63,19,2,Phone,8,Weekday,Connect socially
8.51,3,5,2,4.09,32,4,Phone,15,Weekday,Maintain habits
6.81,4,3,2,2.79,25,3,Studying,16,Weekday,Maintain habits
9.42,3,3,4,1.4,24,3,Relaxing,21,Weekend,Stay active
7.05,2,5,3,4.89,128,3,Relaxing,13,Weekday,Connect socially
8.56,4,3,4,1.61,49,5,Exercise,10,Weekday,Take a short break
8.21,5,2,3,5.71,28,3,Phone,6,Weekday,Connect socially
7.23,3,3,4,2.4,39,1,Relaxing,10,Weekend,Maintain habits
8.01,3,4,3,2.06,35,5,Relaxing,19,Weekend,Stay active
7.59,5,2,3,3.11,64,3,Exercise,15,Weekday,Take a short break
6.42,4,2,2,4.71,20,3,Relaxing,11,Weekday,Maintain habits
6.18,3,3,3,1.89,43,4,Studying,22,Weekday,Take a short break
6.74,4,3,3,3.21,113,2,Relaxing,19,Weekday,Take a short break
7.15,3,1,3,2.21,49,2,Studying,9,Weekend,Connect socially
4.76,5,2,2,5.2,47,4,Relaxing,13,Weekday,Connect socially
9.62,4,1,4,3.71,79,2,Relaxing,20,Weekday,Connect socially
7.39,2,2,2,4.04,80,3,Exercise,18,Weekend,Maintain habits
8.71,2,3,2,6.25,0,2,Phone,22,Weekday,Take a short break
7.97,2,3,4,3.47,70,3,Relaxing,8,Weekday,Maintain habits
6.55,2,3,3,5.84,0,4,Phone,19,Weekday,Maintain habits
8.22,3,4,2,6.01,40,5,Relaxing,8,Weekday,Maintain habits
6.45,4,3,2,3.89,50,3,Exercise,14,Weekday,Prepare for bed
9.38,3,4,3,2.45,19,3,Phone,19,Weekday,Take a short break
6.66,2,3,2,4.81,33,2,Working,19,Weekday,Take a short break
6.55,5,2,3,2.9,38,3,Relaxing,6,Weekday,Maintain habits
8.61,2,4,3,3.3,16,4,Relaxing,11,Weekday,Stay active
7.28,3,3,3,4.01,79,4,Phone,19,Weekday,Prepare for bed
9.03,3,3,3,3.69,72,3,Exercise,10,Weekday,Reduce screen time
6.42,4,3,5,3.59,63,2,Exercise,14,Weekday,Maintain habits
9.54,3,4,4,3.43,44,3,Relaxing,11,Weekday,Maintain habits
6.68,4,3,3,5.27,14,4,Studying,9,Weekend,Take a short break
8.46,3,3,4,3.85,75,3,Relaxing,20,Weekend,Connect socially
6.61,5,3,2,5.2,45,3,Phone,8,Weekday,Prepare for bed
7.3,2,4,4,5.62,58,4,Relaxing,17,Weekday,Maintain habits
8.7,3,2,3,6.78,9,2,Phone,18,Weekday,Reduce screen time
6.52,5,2,2,6.76,1,3,Studying,8,Weekday,Take a short break
9.2,3,2,4,6.73,43,1,Phone,18,Weekday,Connect socially
8.14,3,3,3,1.94,15,2,Relaxing,14,Weekday,Stay active
5.39,4,3,3,3.32,44,1,Working,20,Weekday,Prepare for bed
6.99,4,2,2,5.07,22,3,Relaxing,20,Weekday,Maintain habits
7.48,4,3,4,5.5,103,5,Phone,20,Weekday,Take a short break
7.55,4,3,4,3.63,68,2,Studying,15,Weekday,Connect socially
6.86,3,3,2,5.58,41,3,Studying,20,Weekend,Stay active
6.7,2,3,2,2.79,32,5,Working,18,Weekday,Stay active
6.6,3,3,3,6.4,12,4,Phone,15,Weekend,Connect socially
8.96,2,4,2,5.14,37,3,Relaxing,9,Weekday,Reduce screen time
6.06,5,3,4,2.2,38,4,Studying,8,Weekend,Take a short break
6.08,3,2,3,4.29,57,1,Exercise,12,Weekend,Connect socially
7.01,2,2,3,4.62,48,4,Studying,13,Weekend,Reduce screen time
7.29,2,5,3,4.02,53,4,Phone,22,Weekend,Maintain habits
7.22,4,2,3,3.69,29,3,Phone,23,Weekend,Reduce screen time
7.1,3,3,3,5.31,26,2,Phone,10,Weekday,Connect socially
9.1,4,3,3,5.93,24,3,Phone,22,Weekend,Take a short break
6.45,4,3,3,4.02,27,2,Relaxing,19,Weekday,Stay active
6.72,3,3,3,3.29,126,1,Relaxing,16,Weekday,Prepare for bed
8.07,4,4,2,5.54,65,5,Phone,22,Weekday,Reduce screen time
9.57,3,4,4,1.87,53,2,Exercise,19,Weekend,Connect socially
8.19,3,3,3,6.66,43,2,Phone,17,Weekday,Take a short break
5.05,4,3,3,7.16,63,4,Relaxing,11,Weekday,Maintain habits
7.42,4,3,2,5.01,53,3,Phone,12,Weekday,Connect socially
8.72,3,4,4,5.78,42,3,Studying,21,Weekday,Stay active
5.2,4,2,2,5.5,14,1,Relaxing,11,Weekday,Connect socially
7.36,2,3,3,8.27,60,5,Phone,7,Weekday,Reduce screen time
7.02,2,4,2,1.73,35,5,Phone,12,Weekday,Prepare for bed
9.56,3,3,3,4.6,51,3,Relaxing,16,Weekday,Take a short break
7.72,2,5,3,0.44,79,2,Relaxing,15,Weekday,Maintain habits
7.97,3,4,2,2.37,105,4,Exercise,22,Weekday,Maintain habits
8.56,3,3,2,3.67,72,4,Relaxing,15,Weekday,Maintain habits
4.43,4,2,2,4.95,31,2,Phone,21,Weekday,Connect socially
7.94,4,2,3,5.67,8,3,Relaxing,17,Weekday,Take a short break
6.55,4,2,1,6.6,8,2,Relaxing,16,Weekday,Connect socially
6.72,3,3,2,5.9,32,2,Phone,10,Weekend,Maintain habits
7.47,3,2,4,8.67,50,3,Phone,13,Weekend,Connect socially
7.11,4,2,2,2.47,64,3,Relaxing,21,Weekday,Maintain habits
7.7,3,3,3,2.76,48,3,Relaxing,19,Weekday,Maintain habits
8.26,3,3,3,2.27,83,3,Studying,16,Weekday,Take a short break
9.5,4,2,2,5.52,64,1,Relaxing,21,Weekend,Connect socially
6.52,5,2,2,6.96,12,1,Phone,20,Weekday,Take a short break
7.87,2,3,4,1.85,128,3,Studying,9,Weekend,Maintain habits
4.52,4,2,2,3.18,58,3,Relaxing,17,Weekday,Connect socially
6.41,3,3,2,4.79,65,2,Phone,20,Weekday,Maintain habits
7.79,2,3,4,3.23,50,3,Studying,20,Weekday,Stay active
8.71,2,3,3,3.04,104,4,Working,9,Weekend,Maintain habits
10.2,2,5,4,3.01,113,5,Studying,12,Weekday,Maintain habits
7.12,3,5,3,2.34,98,5,Exercise,15,Weekday,Maintain habits
7.05,3,4,3,5.2,128,3,Exercise,12,Weekend,Take a short break
7.22,3,4,2,6.18,41,5,Relaxing,9,Weekday,Take a short break
7.13,1,4,5,2.02,87,4,Relaxing,18,Weekday,Prepare for bed
6.25,4,2,3,4.2,91,3,Exercise,16,Weekday,Maintain habits
8.4,5,1,4,5.04,24,3,Relaxing,10,Weekend,Stay active
5.92,3,3,2,2.89,67,2,Relaxing,17,Weekday,Prepare for bed
8.39,3,4,3,2.93,0,4,Phone,8,Weekend,Stay active
7.51,3,2,4,3.81,13,3,Relaxing,15,Weekday,Maintain habits
8.23,2,3,3,3.4,81,2,Studying,20,Weekend,Take a short break
8.62,4,3,3,4.74,18,4,Phone,21,Weekend,Maintain habits
8.92,4,3,3,4.63,20,4,Working,12,Weekday,Take a short break
7.96,4,3,3,6.79,72,4,Phone,20,Weekend,Take a short break
7.95,3,4,3,8.91,43,3,Phone,21,Weekend,Reduce screen time
8.26,4,3,4,4.79,33,2,Working,17,Weekend,Take a short break
6.99,3,3,3,5.1,22,4,Phone,23,Weekday,Prepare for bed
8.57,4,4,2,1.68,79,4,Exercise,12,Weekday,Maintain habits
5.95,4,3,3,4.51,66,3,Exercise,8,Weekday,Reduce screen time
7.81,2,3,3,3.98,158,4,Relaxing,20,Weekday,Take a short break
7.05,3,3,3,3.7,97,2,Studying,16,Weekday,Stay active
7.97,4,4,3,4.18,15,3,Working,14,Weekday,Reduce screen time
6.51,3,3,3,2.46,65,3,Phone,8,Weekday,Connect socially
9.65,3,3,4,0.91,46,5,Working,8,Weekday,Maintain habits
8.03,4,2,3,6.47,0,3,Phone,9,Weekday,Reduce screen time
7.6,4,3,4,1.35,97,2,Studying,11,Weekend,Take a short break
8.14,2,3,3,3.35,70,2,Phone,23,Weekend,Maintain habits
7.49,3,4,3,2.18,56,5,Exercise,13,Weekday,Maintain habits
7.88,3,4,3,5.56,36,5,Phone,20,Weekday,Maintain habits
7.94,5,3,2,7.49,14,4,Studying,6,Weekend,Take a short break
8.58,3,3,5,4.73,37,3,Phone,14,Weekday,Take a short break
4.46,5,2,2,3.59,22,4,Studying,21,Weekday,Prepare for bed
6.68,4,3,3,5.45,109,4,Exercise,11,Weekday,Take a short break
7.42,3,3,3,3.45,36,2,Phone,13,Weekday,Reduce screen time
5.88,4,3,2,6.1,100,2,Phone,20,Weekday,Connect socially
8.37,3,3,3,5.6,52,3,Phone,10,Weekend,Connect socially
8.31,4,4,3,2.93,33,3,Working,8,Weekday,Connect socially
9.37,2,3,4,3.87,35,3,Working,22,Weekday,Stay active
8.91,1,3,2,4.65,32,3,Relaxing,15,Weekend,Stay active
8.44,5,2,3,3.6,35,3,Relaxing,18,Weekend,Stay active
8.03,3,4,3,4.74,20,4,Phone,10,Weekday,Maintain habits
6.92,2,4,2,4.21,72,4,Exercise,12,Weekday,Take a short break
6.78,5,3,3,5.05,46,3,Relaxing,16,Weekday,Reduce screen time
7.43,2,4,3,1.83,52,3,Relaxing,18,Weekday,Maintain habits
8.01,4,3,3,3.9,40,2,Studying,13,Weekday,Reduce screen time
7.0,4,3,3,3.6,39,3,Relaxing,21,Weekend,Prepare for bed
8.35,4,3,2,5.93,22,1,Working,19,Weekday,Stay active
7.75,2,3,2,3.96,54,4,Studying,17,Weekday,Stay active
8.31,3,3,3,4.9,67,3,Phone,16,Weekend,Maintain habits
6.58,3,3,3,6.23,21,3,Working,18,Weekday,Take a short break
8.16,3,2,4,2.77,33,3,Working,19,Weekend,Connect socially
9.37,3,3,4,5.16,41,1,Phone,10,Weekend,Stay active
8.42,1,5,4,3.05,69,4,Exercise,20,Weekday,Maintain habits
