sleep,stress,mood,energy,screen_time,hour,activity,social,day_type,prediction,top_probability,second_probability,probability_margin,entropy,normalised_entropy,certainty_score,certainty,probability_mae,top1_correct
8.01,3,4,2,4.75,16,Phone,Low,Weekend,Connect socially,0.43508772117640576,0.23724783177705178,0.19783988939935399,1.512607133019678,0.8442021147354983,0.3654369741618307,Low,0.0014876616722019457,True
5.61,4,3,2,3.09,7,Exercise,Medium,Weekday,Take a short break,0.6170687096561231,0.18331603569480162,0.43375267396132156,1.1119423255363305,0.6205868279939324,0.6571904255193941,High,0.0031052468126621935,True
7.96,3,3,3,5.84,12,Studying,Low,Weekday,Connect socially,0.594166273277068,0.19954126637212383,0.3946250069049441,1.2339463789252156,0.6886785866725949,0.6058766104736225,High,0.0014659412754963834,True
8.81,4,2,2,4.63,16,Studying,Low,Weekday,Connect socially,0.5139771159626402,0.44667355340246684,0.06730356256017334,0.8815893915684577,0.4920244076892048,0.3799973144374684,Low,0.004387204802987841,True
7.78,3,4,3,3.53,15,Studying,High,Weekday,Take a short break,0.42855461939887535,0.22028297911486913,0.20827164028400622,1.5032828178600848,0.8389981153596164,0.37084010385637495,Low,0.0023295255294746215,True
7.04,4,2,3,4.05,19,Working,Low,Weekend,Connect socially,0.6012686251365903,0.2742886825478052,0.3269799425887851,1.048795452138843,0.5853438869173083,0.5823880637401535,High,0.0024986060351631823,True
5.7,4,3,2,4.08,18,Studying,High,Weekday,Take a short break,0.7061455988665372,0.18649668881205805,0.5196489100544791,0.9385930210933237,0.5238387390790229,0.7629977716741371,High,0.0019239097415968745,True
7.0,2,4,3,3.79,21,Exercise,Medium,Weekend,Prepare for bed,0.6699528821354791,0.10637414130743877,0.5635787408280404,1.1317491729492157,0.6316412400135427,0.725150548958257,High,0.0033391037368266023,True
7.36,4,2,3,3.37,20,Studying,Low,Weekday,Connect socially,0.5993957725536052,0.2724414917996539,0.32695428075395133,1.0529591408881598,0.5876676858539539,0.5810625570060974,High,0.0013704785867065556,True
9.45,4,2,5,5.91,12,Phone,Low,Weekend,Connect socially,0.7901563329700426,0.07853534512112492,0.7116209878489177,0.781897805994078,0.43638547440240044,0.818293254956039,High,0.0071884391793028074,True
7.15,2,3,3,1.65,6,Exercise,Low,Weekend,Connect socially,0.7220176899523054,0.1020536372293105,0.6199640527229949,0.9784195221251198,0.5460663325232226,0.7656946939738929,High,0.002785444921473423,True
7.27,4,3,3,6.53,20,Phone,Low,Weekend,Connect socially,0.4609295697845732,0.17308257456875337,0.28784699521581986,1.4427779770975409,0.8052297207722496,0.44786525889968193,Moderate,0.0017379566291412327,True
8.32,2,4,3,1.82,14,Exercise,High,Weekday,Maintain habits,0.41977701510746607,0.19825736865644544,0.22151964645102062,1.5514127921761618,0.8658599654810576,0.37079141621786266,Low,0.0031353887838499322,True
6.79,3,3,4,4.81,14,Relaxing,High,Weekday,Stay active,0.28229470771311205,0.221028501229247,0.06126620648386505,1.7107903613051914,0.954810280445875,0.17895690692043095,Low,0.0026990987507275487,True
9.05,3,5,3,5.05,10,Relaxing,High,Weekday,Stay active,0.294287717673352,0.27009419971289267,0.02419351796045932,1.6027696905433237,0.8945227962064831,0.1704603762840333,Low,0.002884808703190179,True
7.09,4,3,3,4.2,18,Phone,Medium,Weekday,Take a short break,0.39518422969314926,0.1892185070403894,0.20596572265275986,1.582172671333827,0.8830273809103829,0.34540343303677246,Low,0.0017289506758740834,True
8.48,3,4,3,4.2,13,Phone,Low,Weekday,Connect socially,0.4987839490573454,0.14111860616064748,0.35766534289669794,1.4681094268853287,0.8193674720847633,0.5109450226865413,Moderate,0.0009661543389465205,True
8.35,2,3,3,6.69,11,Phone,Medium,Weekend,Reduce screen time,0.409832453789707,0.18167962315175737,0.22815283063794964,1.5851130392838333,0.884668431509252,0.3671978993500825,Low,0.002053575983905681,True
8.69,2,3,5,3.83,16,Studying,Medium,Weekend,Stay active,0.2979339774109015,0.25574449827547246,0.04218947913542903,1.6080852940238417,0.897489490995493,0.18410502703060738,Low,0.0016757378935267203,True
7.06,4,4,2,3.3,19,Relaxing,Low,Weekday,Take a short break,0.37821268256169344,0.3365988622266096,0.04161382033508382,1.3861361985334986,0.773617342248895,0.24460191293754174,Low,0.0010237741535775696,True
7.13,2,2,3,3.18,13,Studying,Medium,Weekday,Connect socially,0.3511452548266958,0.23548681963559087,0.11565843519110491,1.6019130870364298,0.8940447166865445,0.26016732596847764,Low,0.0022090532599262657,True
7.69,3,3,3,8.45,19,Phone,Low,Weekday,Connect socially,0.4621218678425415,0.2875536956955259,0.1745681721470156,1.3780350025145947,0.76909597866297,0.3763333652994606,Low,0.0021419691348793513,True
8.09,3,3,3,4.63,16,Phone,Low,Weekday,Connect socially,0.637996927434028,0.11537012753235998,0.522626799901668,1.2121711955330021,0.6765256254262982,0.7017934922600529,High,0.0019967143632181523,True
7.8,4,2,3,4.63,15,Studying,Medium,Weekday,Take a short break,0.6119978584400384,0.22705146982591748,0.3849463886141209,1.1409719363508914,0.6367885622741858,0.6175037958730647,High,0.0024212764214491065,True
5.39,3,3,2,6.5,14,Phone,Medium,Weekday,Take a short break,0.278895295549117,0.2631405949358224,0.015754700613294592,1.599850878489347,0.8928937761822529,0.1579524181899583,Low,0.0015822025447403177,True
7.52,4,4,4,5.95,10,Relaxing,Medium,Weekday,Take a short break,0.24976228912849294,0.24753100621981314,0.002231282908679799,1.7228900312274322,0.9615632348072402,0.12164228118244966,Low,0.0009597092269089738,True
6.56,4,3,3,7.89,14,Phone,Low,Weekday,Connect socially,0.48187399945508147,0.20833969856680193,0.27353430088827957,1.3775043619059053,0.7687998225003809,0.4545573458765062,Moderate,0.0018876938055481006,True
6.68,3,2,3,2.04,21,Studying,Low,Weekday,Connect socially,0.5997701434234335,0.2096849902676028,0.3900851531558307,1.1275660055488832,0.6293065698347744,0.6170948577826716,High,0.003276568311120666,True
8.43,4,2,3,5.99,9,Relaxing,Low,Weekend,Connect socially,0.7315280994600061,0.17520904829933875,0.5563190511606673,0.8742422875474132,0.48792391086068243,0.7816028625848662,High,0.0029181047954139235,True
9.03,2,3,4,4.19,22,Working,Medium,Weekday,Prepare for bed,0.25944377666703705,0.20916798010656035,0.050275796560476704,1.7078325889845043,0.9531595162827804,0.16131085383594426,Low,0.0016751936570651518,True
7.01,3,3,3,2.63,9,Exercise,Medium,Weekday,Take a short break,0.3116083090239666,0.291468210490442,0.020140098533524553,1.5469981848917258,0.8633961262435633,0.1816425827855395,Low,0.0015554634768760376,True
10.02,3,4,3,5.17,14,Relaxing,Low,Weekend,Connect socially,0.5202756909777001,0.14564764727558088,0.3746280437021192,1.3983878181843994,0.7804551013685268,0.540272671257743,Moderate,0.002223080825413772,True
6.8,3,3,4,4.74,17,Phone,Low,Weekend,Connect socially,0.6185674772705042,0.09841266884977919,0.520154808420725,1.264672487892646,0.7058271545998894,0.687189933851749,High,0.0021604244319195914,True
8.54,3,3,2,6.92,20,Phone,Medium,Weekday,Reduce screen time,0.3290453639378568,0.2716297880716574,0.05741557586619944,1.5865100500013138,0.8854481180360839,0.21117169327115842,Low,0.003317426874448823,True
7.7,3,3,5,3.31,10,Exercise,Medium,Weekday,Connect socially,0.3740019019941895,0.21365621922814762,0.16034568276604186,1.5977939110215529,0.8917457607800067,0.30219368167761324,Low,0.002059551580288294,True
7.47,3,2,3,5.35,10,Relaxing,Medium,Weekday,Connect socially,0.3639088220207153,0.2741559548067203,0.089752867213995,1.5766706698375732,0.8799566554080227,0.25059464587751384,Low,0.0018148095490357365,True
8.7,3,3,4,4.7,18,Exercise,Low,Weekday,Connect socially,0.7591738505297171,0.0720678096029052,0.6871060409268119,0.9180281848359071,0.5123612854304723,0.7891559756522782,High,0.0021034515902271286,True
6.58,4,2,2,3.95,13,Phone,Medium,Weekday,Take a short break,0.5895918736243395,0.19847805612706737,0.39111381749727214,1.2157979305903304,0.6785497448014791,0.6033860664187475,High,0.0018715369801854773,True
8.59,5,3,4,2.03,18,Exercise,Medium,Weekday,Take a short break,0.44461167530337875,0.3084228941504348,0.13618878115294397,1.3745170584093727,0.7671325766742323,0.3419808853587348,Low,0.0040330871076541775,True
7.73,3,3,3,4.57,20,Exercise,High,Weekend,Prepare for bed,0.4150207243479821,0.2899679493568073,0.1250527749911748,1.476976322251903,0.8243161806133664,0.30943303232774105,Low,0.0034783748632309236,True
6.58,4,3,3,4.82,8,Phone,Medium,Weekday,Take a short break,0.4009515932500854,0.1829269104121072,0.21802468283797818,1.5817125533090104,0.8827705841512649,0.3564913781188702,Low,0.001972794983898988,True
5.86,3,3,2,6.62,20,Phone,Low,Weekday,Connect socially,0.353648942626688,0.33003867598863007,0.02361026663805793,1.431299894556461,0.7988236809336406,0.21590447464192203,Low,0.0017957539380457864,True
9.61,2,4,4,3.66,7,Studying,Medium,Weekend,Stay active,0.32670833308113595,0.30996343266766063,0.016744900413475317,1.5574847330916195,0.8692487802297659,0.18489042412999074,Low,0.0027187956682560217,True
8.45,2,2,5,2.99,21,Studying,High,Weekday,Prepare for bed,0.2687211701567159,0.24727957281178564,0.021441597344930285,1.6732875452882428,0.9338795603012197,0.14915773265172944,Low,0.004145876573540583,True
6.75,3,4,3,6.13,23,Phone,Low,Weekday,Prepare for bed,0.5437357698315699,0.2047811605781791,0.3389546092533908,1.294652425501677,0.7225592763628329,0.5374374676290135,Moderate,0.006109047629196877,True
7.82,4,3,3,2.77,18,Phone,Medium,Weekday,Take a short break,0.4351074700074777,0.20894713567665008,0.2261603343308276,1.532274143137812,0.8551784820749198,0.38307489911996034,Moderate,0.003180385912097416,True
7.38,4,2,3,2.48,23,Exercise,Medium,Weekday,Prepare for bed,0.42637289865765804,0.31146683603541203,0.11490606262224601,1.2754184547874232,0.7118245929164324,0.32993712964823185,Low,0.0031661910377180566,True
6.88,4,3,2,4.31,20,Phone,Medium,Weekday,Take a short break,0.4615467115083339,0.29805275469303905,0.16349395681529483,1.35882613147583,0.7583753036121831,0.37046672922702,Low,0.001590270804136219,True
8.26,2,4,5,0.69,8,Exercise,Low,Weekday,Connect socially,0.5972674996040243,0.25546153534806265,0.3418059642559616,1.134137219339875,0.632974034080867,0.5814397429848106,High,0.004126887912260075,True
6.59,4,2,1,5.87,6,Phone,Low,Weekday,Connect socially,0.5330372331464046,0.33961754176566644,0.19341969138073817,1.1076852990180979,0.6182109362565963,0.45161835163107955,Moderate,0.000958118138559331,True
5.65,4,3,3,3.61,7,Relaxing,Medium,Weekend,Take a short break,0.41707612368984287,0.20704065592571672,0.21003546776412615,1.4904909381488431,0.8318588313592072,0.3683373168234761,Low,0.002754214252872722,True
7.52,4,3,3,4.37,16,Studying,Medium,Weekday,Take a short break,0.604297321333309,0.15500531715254764,0.44929200418076143,1.2481575465949521,0.6966099903647763,0.6471161994535668,High,0.0017280644427785537,True
7.32,4,4,2,6.39,18,Phone,Medium,Weekday,Take a short break,0.4635778956998508,0.2189304018364359,0.24464749386341492,1.4525907695637343,0.8107063445237742,0.41772202986456847,Moderate,0.0021885411840561093,True
6.63,5,4,3,5.84,16,Relaxing,Medium,Weekday,Take a short break,0.45658956236577725,0.1614573793728296,0.29513218299294763,1.5245159300222428,0.8508485408920714,0.4418881229812488,Moderate,0.0022347348338380667,True
6.31,3,4,3,6.64,18,Phone,High,Weekday,Reduce screen time,0.3554856895646827,0.2889675069100652,0.06651818265461751,1.5274033015793838,0.8524600136409135,0.23603928543415678,Low,0.0037931188656901136,True
5.61,3,4,3,2.42,16,Studying,Medium,Weekday,Take a short break,0.3211766300911938,0.2880095190114737,0.03316711107972009,1.5735868806073041,0.8782355598685653,0.19209934932312822,Low,0.0020001472799918824,True
6.87,3,2,3,2.96,7,Studying,High,Weekday,Take a short break,0.5166954749258468,0.15755604471816562,0.35913943020768113,1.41151506746976,0.7877815586920739,0.5263542531235931,Moderate,0.002830189403718312,True
6.33,2,3,2,2.07,12,Working,Medium,Weekday,Take a short break,0.33067415524723004,0.26342049491231945,0.06725366033491059,1.5784764803319038,0.8809644974344464,0.21968803260880165,Low,0.0034850681475031794,True
8.26,3,3,3,3.02,23,Working,High,Weekday,Prepare for bed,0.42176608435665885,0.31678049448378726,0.1049855898728716,1.4130258296715748,0.7886247311310985,0.3055597046452869,Low,0.006898783266607749,True
8.49,3,4,3,7.31,14,Phone,High,Weekend,Reduce screen time,0.47937839762271955,0.17691721819649245,0.3024611794262271,1.4465871647626094,0.8073556688866523,0.4659719707512523,Moderate,0.003283848940401775,True
6.74,2,4,3,4.38,14,Exercise,Medium,Weekday,Prepare for bed,0.3303092579411127,0.1914562973701977,0.138852960570915,1.6666489391401569,0.9301744836644845,0.25980134174024433,Low,0.0022672866973449473,True
7.8,5,2,3,6.45,10,Phone,Low,Weekday,Connect socially,0.6518174554010339,0.20782546921312484,0.443991986187909,1.0399688710558987,0.580417678218801,0.6880287096182414,High,0.002308611039729998,True
7.14,4,3,2,2.69,23,Relaxing,High,Weekday,Prepare for bed,0.5027188126620052,0.3858024619438127,0.11691635071819256,1.0958095228795632,0.6115829393951364,0.3857483233216099,Moderate,0.004820271680633725,True
6.97,4,3,2,3.85,12,Relaxing,Low,Weekday,Connect socially,0.4961606216023651,0.3655598636254292,0.13060075797693593,1.1575439032844175,0.6460375531226427,0.3854852996803909,Moderate,0.0008822808375422401,True
7.19,4,2,2,4.95,18,Studying,Medium,Weekday,Take a short break,0.7215684828592225,0.13445980150049094,0.5871086813587315,0.9571737912788376,0.5342088643690648,0.7678640444128371,High,0.0026118527617090674,True
9.11,3,2,5,2.45,7,Working,High,Weekday,Take a short break,0.3097553433824154,0.27469163798704394,0.03506370539537146,1.5789739644059226,0.8812421485826963,0.18768606858230769,Low,0.00300977507807357,True
8.63,3,4,3,3.85,8,Studying,Low,Weekend,Connect socially,0.46953516497798387,0.2513489427394216,0.21818622223856227,1.40205172109177,0.7824999645157823,0.40752118690392986,Moderate,0.003163282632936403,True
6.94,5,2,2,5.48,19,Relaxing,Low,Weekday,Connect socially,0.5354293175742744,0.3447091550299545,0.1907201625443199,1.0654272120773278,0.594626248877226,0.45552205691400216,Moderate,0.0026043250127480012,True
8.19,4,3,4,5.29,18,Relaxing,High,Weekday,Take a short break,0.34088466138000184,0.24227058878098282,0.09861407259901903,1.6510079633651173,0.9214450888748044,0.2381389306653533,Low,0.0018502685984933497,True
8.85,3,4,4,4.92,18,Studying,Medium,Weekend,Stay active,0.2770222187211518,0.22284644498988915,0.054175773731262644,1.7011580712467864,0.9494343970062553,0.17269616063515109,Low,0.001244705350342816,True
7.52,2,3,2,3.96,12,Relaxing,Medium,Weekday,Connect socially,0.2484253792757426,0.2442407123219471,0.004184666953795491,1.7045554665547726,0.9513305194302377,0.12445458365569348,Low,0.000899015289590549,True
6.91,2,4,2,5.8,23,Phone,Medium,Weekday,Prepare for bed,0.7123174127640995,0.1426705624629264,0.5696468503011731,0.9981501167188516,0.5570781870341588,0.759127198337013,High,0.0037058418873473255,True
6.84,3,3,4,2.85,17,Relaxing,Medium,Weekday,Connect socially,0.2645592699223088,0.23192839314913832,0.0326308767731705,1.659138239677203,0.9259826824813772,0.1566967487099829,Low,0.003259065045203201,True
6.82,4,2,2,7.1,23,Studying,High,Weekend,Take a short break,0.4520335613169828,0.4458766080532227,0.00615695326376009,1.0528792023954812,0.5876230713317194,0.29020035561093044,Low,0.007716727556510425,True
7.44,2,5,4,2.23,10,Exercise,High,Weekday,Maintain habits,0.46080218776396625,0.22856069114529423,0.23224149661867202,1.473352165277808,0.8222935000938343,0.40547133210808833,Moderate,0.0032094465369100857,True
6.61,4,4,3,5.67,15,Exercise,Medium,Weekday,Take a short break,0.43181641946059757,0.21008838822065798,0.2217280312399396,1.5095588616820366,0.8425008421093491,0.3810268422033568,Moderate,0.00335699930695727,True
6.79,3,2,3,3.03,14,Phone,Medium,Weekday,Connect socially,0.34216269886720996,0.2588166572315964,0.08334604163561354,1.6049427821703102,0.8957356217359738,0.2331683192879792,Low,0.002013108603055057,True
7.91,3,1,3,3.78,19,Relaxing,Medium,Weekday,Connect socially,0.4046914683538292,0.25320301703214315,0.15148845132168604,1.515699733291831,0.8459281278110622,0.31896745112219094,Low,0.0032875754711956862,True
9.02,3,3,3,4.41,19,Working,Medium,Weekday,Take a short break,0.40587559276089463,0.20594571660894806,0.19992987615194657,1.576853639196493,0.8800587725515691,0.34658317553845136,Low,0.0018996059320941516,True
7.64,3,3,3,3.16,16,Relaxing,Medium,Weekday,Take a short break,0.2771358927044289,0.26213172719910843,0.015004165505320466,1.6484228502452194,0.9200023097717522,0.15121360561636688,Low,0.0015434930784479727,True
7.14,3,3,3,3.44,6,Phone,High,Weekday,Take a short break,0.311390776984867,0.20107285534854577,0.11031792163632123,1.6885669901611287,0.9424071808525812,0.22886695861809875,Low,0.0032240974924193527,True
7.23,3,4,3,3.02,11,Relaxing,Low,Weekday,Connect socially,0.5076904764338934,0.14215814448767586,0.3655323319462176,1.4331064031740195,0.7998319125900564,0.5243669642395931,Moderate,0.0020388947601102138,True
8.44,4,3,4,4.77,8,Phone,Medium,Weekday,Take a short break,0.26991142440363264,0.2521143095552797,0.017797114848352946,1.6588531896023453,0.9258235930054999,0.1487534027743818,Low,0.0022664825340739693,True
7.66,3,3,3,4.23,20,Exercise,Low,Weekday,Connect socially,0.6299785276060036,0.17152983913317996,0.4584486884728236,1.124329530754998,0.6275002588597418,0.6789043675817298,High,0.0020073893291614343,True
7.45,3,4,3,3.87,13,Studying,Low,Weekday,Connect socially,0.4565298908671452,0.24261637236460465,0.21391351850254053,1.4535213661235025,0.8112257203528128,0.39293276977143116,Moderate,0.0024560445180309386,True
7.53,4,4,2,5.41,9,Phone,Medium,Weekday,Take a short break,0.5526042165628114,0.15482346125113028,0.39778075531168117,1.367059567575932,0.7629704717926806,0.5745243318129059,Moderate,0.003169040096265724,True
6.45,4,2,2,5.0,14,Relaxing,Medium,Weekend,Take a short break,0.5921430762808598,0.19928298703114522,0.3928600892497146,1.1984686458656886,0.6688780868461244,0.6076908294319623,High,0.0020493746673951045,True
8.36,2,4,2,5.01,8,Studying,Medium,Weekend,Take a short break,0.34614467387527587,0.1772668117540241,0.16887786212125178,1.6802614501394977,0.9377717707072624,0.2864252525872979,Low,0.0007213350932335332,True
6.33,2,3,3,5.19,23,Phone,Medium,Weekday,Prepare for bed,0.7367590828336087,0.08712723321812796,0.6496318496154807,0.9725098355472348,0.5427680736445176,0.7729879725462203,High,0.004836001818886058,True
7.66,2,4,4,4.42,13,Relaxing,Medium,Weekday,Stay active,0.3317155325847291,0.23062294712436385,0.10109258546036523,1.6489860115357027,0.9203166160724333,0.23597347627089707,Low,0.0024352823489351854,True
7.18,3,3,4,3.2,22,Studying,Medium,Weekend,Prepare for bed,0.4928658427769233,0.14605695703639307,0.34680888574053026,1.439814323846081,0.8035756743991967,0.5038407143881473,Moderate,0.0030432028245868255,True
8.57,3,3,3,3.57,18,Phone,Medium,Weekend,Take a short break,0.2647351908588196,0.2485098126962972,0.01622537816252237,1.707908715406501,0.9532020032478581,0.13984819995066286,Low,0.001517650649884801,True
7.79,3,4,3,3.86,17,Working,High,Weekend,Take a short break,0.4127720800022672,0.21277915519946108,0.19999292480280614,1.5309290570800087,0.8544277752524339,0.35485692831249777,Low,0.001428379925441815,True
6.05,3,4,2,8.23,16,Studying,Low,Weekday,Take a short break,0.31031835333432745,0.3062718585068384,0.004046494827489033,1.5387861211120197,0.8588128861821928,0.17071322814325113,Low,0.0038956873286652128,False
6.94,3,4,3,5.51,18,Phone,Low,Weekday,Connect socially,0.40190625906213345,0.16928239756008764,0.2326238615020458,1.592837744206686,0.8889796714136687,0.36589858534665837,Low,0.0022160445142686675,True
9.57,4,2,4,6.1,18,Phone,Medium,Weekday,Connect socially,0.32978751011483265,0.25414042529864644,0.0756470848161862,1.5479712456807988,0.8639392018102253,0.22856949856095998,Low,0.0037837236719050087,True
5.56,3,3,2,6.16,6,Studying,Medium,Weekend,Take a short break,0.4940183598108927,0.19477916438268844,0.29923919542820426,1.4223619825558078,0.7938353372668961,0.47300863126126547,Moderate,0.003536943045196547,True
7.42,4,4,3,3.89,21,Working,High,Weekday,Take a short break,0.4574960151277529,0.35167491575456,0.1058210993731929,1.276095751902845,0.7122025996338819,0.33750745644194746,Low,0.00322626566736048,True
6.19,4,1,3,6.13,14,Studying,Low,Weekday,Connect socially,0.6576611756734381,0.24667922782006826,0.41098194785336983,0.9642085266441267,0.5381350249314085,0.6760078875641243,High,0.0008513157261552856,True
8.7,4,2,3,4.27,14,Exercise,Medium,Weekday,Take a short break,0.5227694040475622,0.3475021484525145,0.17526725559504774,1.1446019764943949,0.6388145262530828,0.4301704054873199,Moderate,0.0035879608307106173,True
8.11,3,3,4,5.31,15,Studying,Low,Weekday,Connect socially,0.6570922066074806,0.1130000266809177,0.5440921799265629,1.1557269787581714,0.6450235082369031,0.7166867913259857,High,0.002376936144263084,True
7.45,3,3,4,4.24,18,Exercise,Low,Weekday,Connect socially,0.7310026195981046,0.08245999923510969,0.6485426203629949,0.9872183844401596,0.5509770710828076,0.7687557646025857,High,0.002468061407404926,True
8.91,3,4,3,4.45,14,Studying,Low,Weekend,Connect socially,0.46859093733893986,0.25090424700140995,0.2176866903375299,1.4075306163100632,0.7855577941588726,0.4061350462070194,Moderate,0.0025811441219062464,True
8.21,4,3,2,6.05,14,Relaxing,Medium,Weekend,Take a short break,0.6343732804515386,0.14695740605810817,0.4874158743934305,1.1885466774756397,0.6633405308513325,0.6939909821083271,High,0.002294134765248328,True
7.96,3,3,3,3.64,8,Studying,Medium,Weekend,Take a short break,0.4271485183936668,0.21873899944964828,0.20840951894401852,1.5197231618772498,0.8481736460597544,0.36846876732601214,Low,0.0024073581096055985,True
6.62,3,4,3,5.9,15,Phone,Medium,Weekday,Reduce screen time,0.2978347419198759,0.1906630836414348,0.1071716582784411,1.70299952701859,0.950462133040823,0.21895336805068832,Low,0.0013067234721120095,True
6.87,1,3,4,4.22,10,Studying,Medium,Weekday,Stay active,0.2574504989358874,0.23540759731358177,0.022042901622305627,1.7066757159252084,0.9525138531348165,0.1407799850298,Low,0.003989531515858465,True
6.76,2,3,4,4.54,20,Relaxing,Low,Weekday,Connect socially,0.536167336383387,0.25529249791176667,0.2808748384716203,1.269425465990125,0.7084798421838576,0.49619171986588684,Moderate,0.002251363157554337,True
7.26,4,2,2,6.23,14,Phone,Medium,Weekday,Take a short break,0.5516177662493232,0.1815597258745275,0.3700580403747957,1.290546806417691,0.7202678867234887,0.5632150457298547,Moderate,0.0020716390498572755,True
5.26,4,3,3,5.09,22,Studying,Medium,Weekday,Prepare for bed,0.5777014302356611,0.26421448056835883,0.3134869496673023,1.1576278745123147,0.6460844183572566,0.5501896247017078,Moderate,0.003571474555748966,True
8.33,3,3,3,3.94,18,Relaxing,Medium,Weekday,Take a short break,0.2777793246070125,0.25992455029824424,0.01785477430876825,1.6652541513092942,0.9293960377542957,0.15161983053843425,Low,0.002039544799492992,True
9.29,5,3,2,6.0,19,Relaxing,High,Weekday,Take a short break,0.7608671533613243,0.06363401861287724,0.6972331347484471,0.9210461330913375,0.5140456344222099,0.789581092128154,High,0.004161021089764043,True
6.8,3,4,1,4.9,22,Studying,High,Weekday,Prepare for bed,0.599596773231935,0.29678617608686125,0.3028105971450738,1.03631815228773,0.5783801732797359,0.5661099312999752,Moderate,0.00484004819205209,True
8.48,3,3,3,3.06,12,Relaxing,High,Weekday,Take a short break,0.3637093111975536,0.24062554311994516,0.12308376807760846,1.5912296063848743,0.8880821526063568,0.2722113971719537,Low,0.0016559522232781447,True
7.11,4,5,3,4.23,17,Relaxing,Medium,Weekday,Take a short break,0.38010704018636754,0.1887248865806951,0.19138215360567243,1.602416303605783,0.8943255672013573,0.3261505621675646,Low,0.0029081417011111617,True
6.62,4,3,2,4.17,7,Studying,Low,Weekday,Take a short break,0.5074289000171683,0.38025839687246693,0.1271705031447014,1.0897496463402094,0.6082008579029344,0.39572218562842987,Moderate,0.0012870961525744838,True
6.85,4,3,2,3.45,9,Relaxing,Medium,Weekday,Take a short break,0.6158528032672207,0.15109241641386273,0.46476038685335797,1.1964542065347707,0.6677538068489963,0.6689152708978006,High,0.002531031280692963,True
7.34,2,3,4,4.8,14,Phone,High,Weekday,Stay active,0.2806816241701332,0.24786557814545981,0.03281604602467339,1.68206122989549,0.9387762469145335,0.1615227137109246,Low,0.0017947081781173786,True
7.19,2,3,3,5.71,18,Phone,High,Weekend,Reduce screen time,0.32346789414884164,0.25340195435013263,0.07006593979870901,1.6352934002168782,0.9126746241901614,0.21207178538804275,Low,0.0026189912582442153,True
7.89,3,3,3,4.82,20,Working,Medium,Weekday,Take a short break,0.34158316293202423,0.2310638515105159,0.11051931142150834,1.6247241778408075,0.9067758288676931,0.2497207755409281,Low,0.0016961068163258524,True
